k1,k2,lambda,val_mAP
32,4,0.5473684210526315,0.9679485811238293
32,7,0.5210526315789473,0.9679485305900205
29,5,0.5210526315789473,0.967948520550771
32,1,0.5210526315789473,0.9679482007157788
34,4,0.5210526315789473,0.9679480966123895
33,2,0.46842105263157896,0.9679479484116505
26,7,0.46842105263157896,0.9679478950681515
25,8,0.5210526315789473,0.9679477069564998
27,1,0.17894736842105263,0.9679475897782965
33,5,0.46842105263157896,0.9679474346905091
24,6,0.44210526315789467,0.9679474322656764
31,8,0.6,0.9679474208488236
33,5,0.5736842105263158,0.9679471969074165
14,3,0.5473684210526315,0.9679470891673629
27,9,0.6,0.9679469732448768
21,1,0.5473684210526315,0.9679469006790161
29,4,0.49473684210526314,0.9679468236710493
31,8,0.49473684210526314,0.9679467321527555
33,5,0.5210526315789473,0.9679467173440407
24,7,0.5210526315789473,0.9679466317228987
31,2,0.5736842105263158,0.9679465492235421
33,8,0.6,0.9679465423930752
18,5,0.44210526315789467,0.967946510914677
19,2,0.5210526315789473,0.9679464708785667
33,1,0.28421052631578947,0.9679464653771489
21,1,0.5210526315789473,0.9679464540422081
19,3,0.49473684210526314,0.9679461121195085
29,8,0.46842105263157896,0.967946110148825
21,1,0.49473684210526314,0.967946054243826
33,8,0.5473684210526315,0.9679458816135023
18,6,0.5473684210526315,0.9679457719631417
33,8,0.5210526315789473,0.9679452234818748
25,7,0.49473684210526314,0.967945118291803
31,8,0.5736842105263158,0.9679450718613655
28,5,0.49473684210526314,0.9679450303269993
24,8,0.5473684210526315,0.9679448520750495
23,6,0.44210526315789467,0.9679446423464049
23,7,0.49473684210526314,0.9679444730889689
20,6,0.5736842105263158,0.9679441754070156
25,3,0.6,0.9679439033740591
20,5,0.5736842105263158,0.9679438980368785
24,7,0.49473684210526314,0.9679438941499316
29,6,0.46842105263157896,0.9679433733278607
22,7,0.5473684210526315,0.96794336848587
28,4,0.46842105263157896,0.9679432298551881
